tsne_1,tsne_2,cluster_gmm,pivote3,pivote5,pivote10,pivote15,estado_oculto
-2.48705237027025e-06,3.11972253257409e-05,0,0.0000,0.0000,0.0000,0.0000,0
5.03847113577649e-05,-1.37227725645062e-05,0,0.0000,0.0000,0.0000,0.0000,0
4.57281566923484e-05,-8.82867789187003e-06,0,0.0000,0.0000,0.0000,0.0000,0
2.28821863856865e-05,3.80786768801045e-05,0,0.0000,0.0000,0.0000,0.0000,0
3.75050331058446e-05,-6.7848086473532e-06,0,0.0000,0.0000,0.0000,0.0000,0
4.39282594015822e-05,2.12704690056853e-05,0,0.0000,0.0000,0.0000,0.0000,0
4.92345934617333e-05,-1.59383307618555e-06,0,0.0000,0.0000,0.0000,0.0667,0
4.60400733572897e-05,2.62370776908938e-05,0,0.0000,0.0000,0.0000,0.1333,0
6.6349035478197e-05,-8.35829177958658e-06,0,0.0000,0.0000,0.0000,0.2000,0
2.0328892787802e-05,2.95870108857343e-06,0,0.0000,0.0000,0.0000,0.2667,0
6.61740559735335e-05,1.52000629896065e-05,0,0.0000,0.0000,0.0000,0.3333,0
2.75767288258066e-05,-1.03800803117338e-05,0,0.0000,0.0000,0.1000,0.3333,0
3.82987709599547e-05,4.20926699007396e-06,0,0.0000,0.0000,0.2000,0.3333,0
-3.03361571241112e-06,-4.82863197248662e-06,0,0.0000,0.0000,0.3000,0.3333,0
2.79617943306221e-05,1.36120997922262e-05,0,0.0000,0.0000,0.4000,0.3333,0
1.92202114703832e-05,-1.96675300685456e-05,0,0.0000,0.0000,0.5000,0.3333,0
2.99265193461906e-05,-2.2718890249962e-05,0,0.0000,0.2000,0.5000,0.4000,0
1.84348700713599e-05,-5.25337145518279e-06,0,0.0000,0.4000,0.5000,0.4667,0
3.69351510016713e-05,3.59010482497979e-06,0,0.3333,0.6000,0.5000,0.5333,0
4.40144394815434e-05,-6.75982937536901e-06,0,0.6667,0.8000,0.5000,0.6000,0
1.98163934328477e-06,1.47916643982171e-05,0,1.0000,1.0000,0.5000,0.6000,0
-1.20083286674344e-05,8.6894378910074e-06,0,1.0000,0.8000,0.5000,0.5333,0
3.42785460816231e-06,-3.92537331208587e-05,0,1.0000,0.6000,0.5000,0.4667,0
3.68321270798333e-05,-4.89486183141707e-06,0,0.6667,0.4000,0.5000,0.4667,0
-1.43309489430976e-05,-1.23309173432062e-05,0,0.3333,0.2000,0.5000,0.4000,0
-2.57095762208337e-05,5.61655106139369e-05,0,0.0000,0.0000,0.4000,0.3333,0
-4.39577888755593e-05,4.55907684226986e-05,0,0.0000,0.2000,0.4000,0.4000,0
5.47253375771106e-06,4.23977471655235e-05,0,0.0000,0.4000,0.4000,0.4667,0
-2.81151515082456e-05,4.41408992628567e-05,0,0.3333,0.6000,0.5000,0.5333,0
-3.95774295611773e-05,4.34193389082793e-05,0,0.6667,0.8000,0.5000,0.5333,0
2.46603049163241e-05,-6.23615369477193e-06,0,1.0000,0.8000,0.5000,0.5333,0
3.14336175506469e-05,-1.1681374417094e-05,0,1.0000,0.6000,0.5000,0.4667,0
-1.1939233445446e-05,2.37323401961476e-05,0,0.6667,0.4000,0.5000,0.4000,0
2.25680742005352e-05,-9.25288713915506e-06,0,0.3333,0.4000,0.5000,0.3333,0
2.04423540708376e-05,5.66467349472077e-07,0,0.0000,0.2000,0.4000,0.2667,0
1.41317395900842e-05,4.60759692941792e-05,0,0.3333,0.2000,0.4000,0.2667,0
4.92758335894905e-05,7.26298167137429e-05,0,0.3333,0.4000,0.4000,0.2667,0
8.24951985123334e-06,5.80550949962344e-05,0,0.3333,0.6000,0.4000,0.2667,0
6.26845940132625e-05,6.39619747744291e-06,0,0.3333,0.6000,0.3000,0.2000,0
3.76974276150577e-05,3.12995580316056e-05,0,0.6667,0.6000,0.3000,0.2000,0
4.03867925342638e-05,1.09819502540631e-05,0,1.0000,0.6000,0.3000,0.2000,0
7.74203363107517e-05,-1.12697516669868e-05,0,0.6667,0.4000,0.2000,0.1333,0
4.42864366050344e-05,1.77266210812377e-05,0,0.3333,0.2000,0.1000,0.0667,0
8.76048652571626e-05,1.46972215588903e-05,0,0.0000,0.0000,0.0000,0.0000,0
4.94528612762224e-05,2.60527358477702e-05,0,0.0000,0.0000,0.0000,0.0000,0
1.65520468726754e-05,6.1312661273405e-05,0,0.0000,0.0000,0.0000,0.0000,0
4.93732841277961e-05,2.42365294980118e-05,0,0.0000,0.0000,0.0000,0.0000,0
9.56670737650711e-06,3.83256156055722e-05,0,0.0000,0.0000,0.0000,0.0000,0
