tsne_1,tsne_2,cluster_gmm,pivote3,pivote5,pivote10,pivote15
3.26799454342108e-05,-5.12807891936973e-05,2,0.0000,0.0000,0.0000,0.0000
-6.37794073554687e-05,-5.72897406527773e-05,2,0.0000,0.0000,0.0000,0.0000
8.18222997622797e-06,-7.43968485039659e-05,2,0.0000,0.0000,0.0000,0.0000
-2.37733584071975e-05,-4.38114439020865e-05,2,0.0000,0.0000,0.0000,0.0000
-6.37794073554687e-05,-5.72897406527773e-05,2,0.0000,0.0000,0.0000,0.0000
-2.37733584071975e-05,-4.38114439020865e-05,2,0.0000,0.0000,0.0000,0.0000
2.82879409496672e-05,-8.07000178610906e-05,2,0.0000,0.0000,0.0000,0.0000
2.82879409496672e-05,-8.07000178610906e-05,2,0.0000,0.0000,0.0000,0.0000
-8.2306083641015e-05,-5.63287221666542e-06,2,0.0000,0.0000,0.0000,0.0000
2.93649591185385e-05,1.7294252756983e-05,2,0.0000,0.0000,0.0000,0.0000
7.34650602680631e-05,-1.5861090787439e-06,2,0.0000,0.0000,0.0000,0.0000
1.24422822409542e-05,1.40846841532039e-05,2,0.0000,0.0000,0.0000,0.0000
1.24422822409542e-05,1.40846841532039e-05,2,0.0000,0.0000,0.0000,0.0000
-7.95970699982718e-05,1.06509132820065e-05,2,0.0000,0.0000,0.0000,0.0000
1.24422822409542e-05,1.40846841532039e-05,2,0.0000,0.0000,0.0000,0.0000
-7.67813544371165e-05,1.83786674767816e-08,2,0.0000,0.0000,0.0000,0.0000
3.27219058817718e-05,1.54283443407621e-05,2,0.0000,0.0000,0.0000,0.0000
4.71229795948602e-05,-8.71306269800698e-07,2,0.0000,0.0000,0.0000,0.0000
6.43506937194616e-05,-1.17879808385624e-05,2,0.0000,0.0000,0.0000,0.0000
7.34650602680631e-05,-1.5861090787439e-06,2,0.0000,0.0000,0.0000,0.0000
4.61652634839993e-05,-1.12405969048268e-05,2,0.0000,0.0000,0.0000,0.0667
7.15190617484041e-05,-3.35179865942337e-05,2,0.0000,0.0000,0.0000,0.0667
3.97112016798928e-05,-1.86428151209839e-05,2,0.0000,0.0000,0.0000,0.0667
6.43506937194616e-05,-1.17879808385624e-05,2,0.0000,0.0000,0.0000,0.0667
7.34650602680631e-05,-1.5861090787439e-06,2,0.0000,0.0000,0.0000,0.0667
4.61652634839993e-05,-1.12405969048268e-05,2,0.0000,0.0000,0.1000,0.0667
7.77256936999038e-05,-4.1599076212151e-05,2,0.0000,0.0000,0.1000,0.0667
6.19912534602918e-05,-7.01905719324714e-06,2,0.0000,0.0000,0.1000,0.0667
6.19912534602918e-05,-7.01905719324714e-06,2,0.0000,0.0000,0.1000,0.0667
5.77590435568709e-05,9.78960179054411e-06,2,0.0000,0.0000,0.1000,0.0667
7.77256936999038e-05,-4.1599076212151e-05,2,0.0000,0.2000,0.1000,0.0667
3.97112016798928e-05,-1.86428151209839e-05,2,0.0000,0.2000,0.1000,0.0667
6.43506937194616e-05,-1.17879808385624e-05,2,0.3333,0.2000,0.1000,0.0667
7.77256936999038e-05,-4.1599076212151e-05,2,0.3333,0.2000,0.1000,0.0667
-2.90050957119092e-05,-5.39546854270156e-05,2,0.3333,0.2000,0.1000,0.0667
-1.61116131494055e-05,3.87055733881425e-05,2,0.0000,0.0000,0.0000,0.0000
6.43506937194616e-05,-1.17879808385624e-05,2,0.0000,0.0000,0.0000,0.0000
